frame id, time, X, Y, Z
66853, 1.714213, 0, -0.09007019, 1.104574, -9.062437
66854, 1.721062, 0, -0.09083085, 1.104474, -9.062591
66854, 1.726509, 0, -0.09149607, 1.104207, -9.062634
66854, 1.733995, 0, -0.09242174, 1.103836, -9.062693
66855, 1.74029, 0, -0.09313215, 1.103955, -9.062617
66855, 1.746795, 0, -0.09389941, 1.103798, -9.062621
66855, 1.753859, 0, -0.0947262, 1.103629, -9.062626
66856, 1.760028, 0, -0.09506847, 1.103781, -9.062911
66856, 1.766124, 0, -0.09566313, 1.103735, -9.06301
66856, 1.77321, 0, -0.09632951, 1.103684, -9.063122
66857, 1.778358, 0, -0.09628664, 1.103859, -9.063515
66857, 1.785439, 0, -0.09680405, 1.103903, -9.063798
66858, 1.792984, 0, -0.09750374, 1.1034, -9.063871
66858, 1.79847, 0, -0.09797648, 1.103189, -9.063993
66858, 1.805452, 0, -0.0986114, 1.102906, -9.064155
66859, 1.811761, 0, -0.09930038, 1.102455, -9.064587
66859, 1.817632, 0, -0.09989291, 1.102132, -9.064844
66859, 1.82411, 0, -0.1005809, 1.101756, -9.065143
66860, 1.831077, 0, -0.1013045, 1.102085, -9.064974
66860, 1.837995, 0, -0.1020031, 1.102005, -9.065076
66860, 1.844603, 0, -0.1027358, 1.10192, -9.065183
66861, 1.851235, 0, -0.103712, 1.102768, -9.06491
66861, 1.857677, 0, -0.1044694, 1.103023, -9.064874
66861, 1.864435, 0, -0.1053909, 1.103333, -9.064828
66862, 1.871564, 0, -0.1060501, 1.104056, -9.06446
66862, 1.877541, 0, -0.106744, 1.104436, -9.064327
66863, 1.883898, 0, -0.1077478, 1.104965, -9.064442
66863, 1.890262, 0, -0.1084279, 1.10533, -9.064423
66863, 1.896524, 0, -0.1092431, 1.105768, -9.064401
66864, 1.902877, 0, -0.1100141, 1.106049, -9.064672
66864, 1.908103, 0, -0.1106582, 1.106346, -9.064762
66864, 1.914542, 0, -0.1114612, 1.106716, -9.064874
66864, 1.921397, 0, -0.1123159, 1.10711, -9.064993
66865, 1.927262, 0, -0.1133744, 1.106388, -9.065042
66865, 1.933859, 0, -0.1142713, 1.106433, -9.065137
66865, 1.940546, 0, -0.1152706, 1.106483, -9.065243
66866, 1.946793, 0, -0.1166405, 1.106623, -9.066129
66866, 1.954803, 0, -0.1179606, 1.106717, -9.066562
66867, 1.960263, 0, -0.1190612, 1.10708, -9.065891
66867, 1.965756, 0, -0.1199845, 1.107239, -9.065856
66867, 1.972182, 0, -0.121104, 1.107431, -9.065813
66868, 1.978825, 0, -0.1220514, 1.107491, -9.065295
66868, 1.984116, 0, -0.1229699, 1.107606, -9.065056
66868, 1.990439, 0, -0.1239442, 1.107727, -9.064801
66868, 1.997455, 0, -0.1250591, 1.107866, -9.06451
66869, 2.002993, 0, -0.1253356, 1.107889, -9.064126
66869, 2.009177, 0, -0.1261189, 1.107983, -9.063827
66870, 2.015545, 0, -0.1264271, 1.10799, -9.064173
66870, 2.021957, 0, -0.127046, 1.108051, -9.064134
66870, 2.029387, 0, -0.1278134, 1.108128, -9.064085
66871, 2.035994, 0, -0.1288422, 1.109079, -9.064141
66871, 2.042828, 0, -0.1298047, 1.109603, -9.064141
66871, 2.050506, 0, -0.1307206, 1.110101, -9.064141
66872, 2.056543, 0, -0.1317171, 1.112249, -9.063825
66872, 2.061641, 0, -0.1324607, 1.11311, -9.063735
66872, 2.06802, 0, -0.1333605, 1.114153, -9.063626
66873, 2.074116, 0, -0.1332166, 1.11391, -9.06346
66873, 2.079165, 0, -0.1336545, 1.114396, -9.063357
66873, 2.085311, 0, -0.1342401, 1.115047, -9.06322
66874, 2.093043, 0, -0.1339042, 1.11484, -9.063043
66874, 2.098323, 0, -0.1340495, 1.115053, -9.062929
66874, 2.105026, 0, -0.1342623, 1.115364, -9.062764
66875, 2.111477, 0, -0.1339244, 1.114858, -9.062616
66875, 2.116641, 0, -0.1339125, 1.114837, -9.0625
66875, 2.123062, 0, -0.1338963, 1.114809, -9.062342
66876, 2.129118, 0, -0.1340182, 1.114849, -9.062154
66876, 2.136272, 0, -0.1340693, 1.114852, -9.061965
66876, 2.147922, 0, -0.1341565, 1.114857, -9.061645
66877, 2.157619, 0, -0.135276, 1.116047, -9.061855
66878, 2.171357, 0, -0.1361466, 1.116955, -9.061844
66878, 2.178009, 0, -0.1365255, 1.117343, -9.061825
66879, 2.183954, 0, -0.1368122, 1.117882, -9.06178
66879, 2.189806, 0, -0.1371164, 1.11833, -9.061748
66879, 2.195012, 0, -0.1373614, 1.11869, -9.061722
66880, 2.202022, 0, -0.1375276, 1.119266, -9.061809
66880, 2.208246, 0, -0.1377174, 1.119699, -9.061837
66880, 2.213464, 0, -0.1378969, 1.120109, -9.061864
66881, 2.220022, 0, -0.1382416, 1.120811, -9.062174
66881, 2.227001, 0, -0.1385146, 1.121393, -9.062341
66881, 2.233841, 0, -0.1388098, 1.122022, -9.062521
66882, 2.242393, 0, -0.1394, 1.122683, -9.062658
66882, 2.251095, 0, -0.1398508, 1.123365, -9.06283
66882, 2.258163, 0, -0.1402167, 1.123919, -9.062969
66883, 2.264106, 0, -0.140534, 1.123633, -9.063519
66883, 2.269933, 0, -0.1408313, 1.123876, -9.063748
66883, 2.27585, 0, -0.1411373, 1.124126, -9.063984
66884, 2.281597, 0, -0.1414601, 1.124086, -9.064241
66884, 2.287718, 0, -0.1417702, 1.124246, -9.064483
66884, 2.294232, 0, -0.142132, 1.124433, -9.064765
66885, 2.301591, 0, -0.1430935, 1.125127, -9.064804
66885, 2.309906, 0, -0.1437914, 1.125582, -9.065009
66885, 2.317863, 0, -0.1444858, 1.126035, -9.065212
66885, 2.325294, 0, -0.1451828, 1.126489, -9.065417
66886, 2.336372, 0, -0.1469634, 1.128939, -9.065639
66886, 2.34181, 0, -0.1476091, 1.129583, -9.065777
66887, 2.349128, 0, -0.1468263, 1.130473, -9.065085
66887, 2.35688, 0, -0.1472072, 1.131349, -9.065011
66887, 2.363539, 0, -0.1475627, 1.132166, -9.064941
66888, 2.370579, 0, -0.1478903, 1.133121, -9.064975
66888, 2.376888, 0, -0.1481961, 1.133882, -9.064943
66888, 2.383504, 0, -0.1485756, 1.134827, -9.064904
66889, 2.390959, 0, -0.1486009, 1.135603, -9.064459
66889, 2.396335, 0, -0.148796, 1.136284, -9.064317
66890, 2.40461, 0, -0.148728, 1.136141, -9.06323
66890, 2.409792, 0, -0.1487694, 1.136317, -9.062815
66890, 2.415246, 0, -0.1488168, 1.136519, -9.062341
66890, 2.421569, 0, -0.1488758, 1.13677, -9.061751
66891, 2.427965, 0, -0.1488779, 1.136572, -9.062361
66891, 2.433629, 0, -0.1489123, 1.13665, -9.062223
66891, 2.440667, 0, -0.1489576, 1.136754, -9.062041
66892, 2.447981, 0, -0.1471551, 1.137106, -9.062084
66892, 2.45507, 0, -0.146562, 1.13729, -9.061989
66892, 2.461738, 0, -0.1459664, 1.137474, -9.061894
66893, 2.467964, 0, -0.1466122, 1.137373, -9.062321
66893, 2.473749, 0, -0.1464649, 1.137449, -9.062398
66893, 2.479189, 0, -0.1463314, 1.137518, -9.062469
66894, 2.484812, 0, -0.1464374, 1.13716, -9.062902
66894, 2.491972, 0, -0.1463801, 1.137086, -9.063099
66895, 2.498869, 0, -0.1461281, 1.136736, -9.063467
66895, 2.505206, 0, -0.1459605, 1.136506, -9.063761
66895, 2.511178, 0, -0.1458147, 1.136305, -9.064016
66896, 2.516948, 0, -0.1456774, 1.135843, -9.064799
66896, 2.523183, 0, -0.1455246, 1.135484, -9.065361
66896, 2.529175, 0, -0.1453825, 1.135151, -9.065883
66897, 2.535972, 0, -0.1454165, 1.134265, -9.066302
66897, 2.5417, 0, -0.1453545, 1.133708, -9.066763
66897, 2.54755, 0, -0.145298, 1.133201, -9.067182
66898, 2.555145, 0, -0.1454159, 1.132238, -9.067466
66898, 2.561507, 0, -0.1454351, 1.131496, -9.067847
66898, 2.570714, 0, -0.1454602, 1.130521, -9.068349
66898, 2.576922, 0, -0.1454779, 1.129836, -9.068702
66899, 2.584093, 0, -0.1446209, 1.127864, -9.066831
66899, 2.590271, 0, -0.1444444, 1.127005, -9.066642
66899, 2.597745, 0, -0.1442106, 1.125866, -9.066391
66900, 2.604848, 0, -0.1441587, 1.125984, -9.066728
66900, 2.612237, 0, -0.1439831, 1.125226, -9.066642
66901, 2.619015, 0, -0.1438156, 1.125452, -9.06652
66901, 2.626925, 0, -0.1435886, 1.124931, -9.066389
66901, 2.634504, 0, -0.1434258, 1.124558, -9.066297
66902, 2.643199, 0, -0.1431204, 1.124469, -9.066437
66902, 2.6494, 0, -0.142956, 1.124256, -9.066426
66902, 2.657424, 0, -0.1427295, 1.123961, -9.066413
66903, 2.662572, 0, -0.1425354, 1.123909, -9.066802
66903, 2.668056, 0, -0.1423666, 1.123745, -9.066903
66903, 2.674245, 0, -0.1421789, 1.123563, -9.067016
66904, 2.679493, 0, -0.1422488, 1.12406, -9.067336
66904, 2.68769, 0, -0.1421059, 1.124141, -9.067607
66905, 2.693146, 0, -0.1422331, 1.124238, -9.067907
66905, 2.698189, 0, -0.1422454, 1.124303, -9.068118
66905, 2.704954, 0, -0.1422632, 1.124398, -9.06842
66906, 2.711649, 0, -0.1427554, 1.124696, -9.068867
66906, 2.718433, 0, -0.1430483, 1.124909, -9.069256
66906, 2.725892, 0, -0.1433992, 1.125164, -9.069721
66907, 2.731318, 0, -0.1441705, 1.125926, -9.069914
66907, 2.738551, 0, -0.1447756, 1.126466, -9.070301
66908, 2.745613, 0, -0.1449637, 1.126678, -9.070322
66908, 2.752719, 0, -0.1453027, 1.127005, -9.070482
66908, 2.759781, 0, -0.1456508, 1.127342, -9.070646
66909, 2.766409, 0, -0.1457176, 1.127645, -9.0705
66909, 2.774369, 0, -0.145952, 1.127992, -9.070522
66910, 2.780599, 0, -0.1459368, 1.128068, -9.070755
66910, 2.786035, 0, -0.146023, 1.128237, -9.070861
66910, 2.792391, 0, -0.1461176, 1.128422, -9.070976
66911, 2.798526, 0, -0.1463712, 1.129068, -9.071111
66911, 2.805491, 0, -0.1465947, 1.129602, -9.07127
66911, 2.812685, 0, -0.1467792, 1.130043, -9.071401
66912, 2.81852, 0, -0.1463137, 1.129335, -9.071574
66912, 2.826821, 0, -0.1462037, 1.129291, -9.071769
66913, 2.833633, 0, -0.1462961, 1.129143, -9.071705
66913, 2.841044, 0, -0.1463214, 1.129022, -9.071731
66913, 2.846693, 0, -0.1463395, 1.128936, -9.071749
66914, 2.854539, 0, -0.1462149, 1.128302, -9.072029
66914, 2.860528, 0, -0.146166, 1.127954, -9.072171
66914, 2.868753, 0, -0.1461095, 1.127553, -9.072336
66915, 2.875064, 0, -0.1455723, 1.12769, -9.071816
66915, 2.881254, 0, -0.145346, 1.127513, -9.071722
66916, 2.887954, 0, -0.1450168, 1.127437, -9.071908
66916, 2.892971, 0, -0.1447986, 1.127334, -9.071937
66916, 2.899283, 0, -0.1445291, 1.127206, -9.071971
66917, 2.906272, 0, -0.1441221, 1.127037, -9.07195
66917, 2.911424, 0, -0.1438688, 1.126925, -9.071955
66917, 2.917743, 0, -0.1435457, 1.126784, -9.07196
66918, 2.923668, 0, -0.1432872, 1.127466, -9.071744
66918, 2.930117, 0, -0.1430429, 1.127684, -9.071659
66918, 2.936191, 0, -0.1427643, 1.127931, -9.071561
66918, 2.942881, 0, -0.1424465, 1.128214, -9.071449
66919, 2.949547, 0, -0.1428481, 1.12909, -9.070599
66919, 2.955543, 0, -0.1427861, 1.129521, -9.070275
66919, 2.961937, 0, -0.1427146, 1.130018, -9.069901
66920, 2.969507, 0, -0.1421305, 1.129212, -9.070333
66920, 2.975667, 0, -0.1419139, 1.129261, -9.070245
66921, 2.983552, 0, -0.1418771, 1.129231, -9.070298
66921, 2.989096, 0, -0.1417833, 1.12924, -9.070283
66921, 2.99553, 0, -0.1416636, 1.129251, -9.070263
66922, 3.002061, 0, -0.1421022, 1.128883, -9.070155
66922, 3.009153, 0, -0.1422167, 1.128738, -9.0701
66923, 3.015594, 0, -0.1424264, 1.128757, -9.069884
66923, 3.021918, 0, -0.1425996, 1.128707, -9.069733
66923, 3.028865, 0, -0.142776, 1.128657, -9.069577
66924, 3.035028, 0, -0.1427654, 1.128577, -9.068475
66924, 3.0407, 0, -0.1428348, 1.128522, -9.067945
66924, 3.046284, 0, -0.1429008, 1.12847, -9.067441
66924, 3.053447, 0, -0.1429909, 1.128399, -9.066753
66925, 3.059996, 0, -0.1435468, 1.128074, -9.066643
66925, 3.066525, 0, -0.1438132, 1.127906, -9.066121
66926, 3.073996, 0, -0.1439665, 1.128076, -9.065797
66926, 3.079746, 0, -0.1441205, 1.128078, -9.065486
66926, 3.085725, 0, -0.1443031, 1.12808, -9.065118
66926, 3.092533, 0, -0.1444917, 1.128081, -9.064738
66927, 3.098815, 0, -0.145164, 1.128363, -9.065385
66927, 3.104964, 0, -0.1455083, 1.128455, -9.065336
66927, 3.11082, 0, -0.1458046, 1.128534, -9.065294
66928, 3.115808, 0, -0.1463374, 1.12848, -9.065875
66928, 3.121989, 0, -0.1468034, 1.128526, -9.066068
66929, 3.128071, 0, -0.1472959, 1.128258, -9.066362
66929, 3.133655, 0, -0.1477468, 1.128122, -9.066601
66929, 3.140927, 0, -0.1483507, 1.127941, -9.066919
66930, 3.147757, 0, -0.1485459, 1.127811, -9.066906
66930, 3.154532, 0, -0.1489223, 1.127659, -9.067042
66930, 3.160051, 0, -0.1492429, 1.12753, -9.067159
66931, 3.165406, 0, -0.1494247, 1.127509, -9.067266
66931, 3.172357, 0, -0.1497547, 1.127403, -9.067407
66931, 3.178661, 0, -0.1500534, 1.127307, -9.067533
66932, 3.184964, 0, -0.1501645, 1.127564, -9.067565
66932, 3.191651, 0, -0.1503842, 1.127604, -9.067653
66933, 3.198875, 0, -0.1504353, 1.127782, -9.0675
66933, 3.205201, 0, -0.1505608, 1.127897, -9.067455
66933, 3.211398, 0, -0.1506726, 1.127999, -9.067416
66934, 3.217051, 0, -0.1505701, 1.127993, -9.066659
66934, 3.223922, 0, -0.1505936, 1.128061, -9.066231
66934, 3.230523, 0, -0.1506143, 1.128121, -9.065854
66935, 3.237678, 0, -0.1504304, 1.128012, -9.065118
66935, 3.245311, 0, -0.1503641, 1.128009, -9.064501
66935, 3.254797, 0, -0.1502918, 1.128006, -9.063828
66936, 3.260346, 0, -0.1504537, 1.126179, -9.063113
66936, 3.266086, 0, -0.1504588, 1.125727, -9.062613
66936, 3.27226, 0, -0.1504646, 1.125215, -9.062046
66937, 3.277705, 0, -0.1502339, 1.123974, -9.063211
66937, 3.283447, 0, -0.1501752, 1.123235, -9.063088
66937, 3.290456, 0, -0.1501162, 1.12249, -9.062964
66938, 3.295166, 0, -0.1496583, 1.12156, -9.062492
